Country,ISO3,Region,CPI score 2019,Rank,standard error ,Number of sources,Lower CI,Upper CI,Global Insight Country Risk Ratings
India,IND,AP,41,80,1.604926,9,38.36792,43.63208,46.73721
Morocco,MAR,MENA,41,80,3.150518,7,35.83315,46.16685,34.50329
Burkina Faso,BFA,SSA,40,85,2.542852,8,35.82972,44.17028,46.73721
Guyana,GUY,AME,40,85,3.337288,5,34.52685,45.47315,34.50329
Indonesia,IDN,AP,40,85,3.756684,9,33.83904,46.16096,46.73721
Kuwait,KWT,MENA,40,85,1.879429,6,36.91774,43.08226,34.50329
Lesotho,LSO,SSA,40,85,3.949422,6,33.52295,46.47705,58.97113
Trinidad and Tobago,TTO,AME,40,85,5.378127,7,31.17987,48.82013,34.50329
Serbia,SRB,ECA,39,91,2.484553,8,34.92533,43.07467,34.50329
Turkey,TUR,ECA,39,91,3.337019,9,33.52729,44.47271,46.73721
Ecuador,ECU,AME,38,93,2.19252,7,34.40427,41.59573,34.50329
Sri Lanka,LKA,AP,38,93,2.113032,7,34.53463,41.46537,34.50329
Timor-Leste,TLS,AP,38,93,4.49538,4,30.62758,45.37243,34.50329
Colombia,COL,AME,37,96,2.493945,8,32.90993,41.09007,46.73721
Ethiopia,ETH,SSA,37,96,1.516015,9,34.51374,39.48626,46.73721
Gambia,GMB,SSA,37,96,5.980328,7,27.19226,46.80774,46.73721
Tanzania,TZA,SSA,37,96,1.918592,9,33.85351,40.14649,34.50329
Vietnam,VNM,AP,37,96,2.841134,8,32.34054,41.65946,46.73721
Bosnia and Herzegovina,BIH,ECA,36,101,1.952692,7,32.79758,39.20242,34.50329
Kosovo,KSV,ECA,36,101,0.8146842,5,34.66392,37.33608,34.50329
Panama,PAN,AME,36,101,1.374419,7,33.74595,38.25405,34.50329
Peru,PER,AME,36,101,3.065588,8,30.97244,41.02757,34.50329
Thailand,THA,AP,36,101,2.448041,9,31.98521,40.01479,34.50329
Albania,ALB,ECA,35,106,2.507669,8,30.88742,39.11258,34.50329
